log_id,po_id,model_version,input_prompt_context,generated_rationale,prompt_tokens,completion_tokens
7939eac8-b6a5-50b5-ab1a-d07d1907afd5,e572bcda-3129-5178-9873-ca5412a3b7dc,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 27.48, ""p90_lt"": 49.45, ""lead_time_mean"": 9.6, ""lead_time_std"": 7.5, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 42.0, ""days_to_stockout"": 7, ""net_benefit"": 541.12, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 42.0 units of 6560211a at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
8ecb7e21-5619-5bb7-86f6-e48ca31dea86,c46055bc-1273-54f4-bf85-b331905a86a1,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 18.47, ""p90_lt"": 35.08, ""lead_time_mean"": 8.3, ""lead_time_std"": 7.7, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 28.0, ""days_to_stockout"": 7, ""net_benefit"": 304.8, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 28.0 units of 9f505651 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
a2e0e505-6f70-51f0-8255-388a3b2be6b0,c9be35a6-f1ad-546f-9098-4c7141f3689a,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 9.38, ""p90_lt"": 15.25, ""lead_time_mean"": 5.0, ""lead_time_std"": 2.8, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 8.0, ""days_to_stockout"": 7, ""net_benefit"": 104.03, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 8.0 units of d13e50ea at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
de306b3b-2e91-5c2f-ab88-c2c724f9c4c9,7aa786f3-335e-55bf-ac0a-e6ee9102294f,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 18.69, ""p90_lt"": 38.25, ""lead_time_mean"": 11.2, ""lead_time_std"": 9.5, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 31.0, ""days_to_stockout"": 7, ""net_benefit"": 596.15, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 31.0 units of da8622b1 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
144a18da-0f8b-5a87-8eef-508cc9f549b1,fe2f2caf-033f-599d-85d4-c676c2926134,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 27.32, ""p90_lt"": 52.65, ""lead_time_mean"": 14.5, ""lead_time_std"": 9.3, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 46.0, ""days_to_stockout"": 7, ""net_benefit"": 928.17, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 46.0 units of 4a3ca931 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
b6136e23-55b6-513a-b0e4-bc2468f05209,83475620-2b4b-58f7-ab50-5b637e6fe1de,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 18.99, ""p90_lt"": 41.63, ""lead_time_mean"": 10.7, ""lead_time_std"": 8.2, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 35.0, ""days_to_stockout"": 7, ""net_benefit"": 509.0, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 35.0 units of 955fee92 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
18ca93e0-7204-53dd-9e1f-cfb4e4290963,57337b8b-4f03-59ac-8d0c-71b0d23f95b8,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 18.29, ""p90_lt"": 42.5, ""lead_time_mean"": 9.9, ""lead_time_std"": 9.3, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 36.0, ""days_to_stockout"": 7, ""net_benefit"": 316.15, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 36.0 units of e9779976 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
d0a18d2f-87fb-5bc6-bf53-260c5f6b1e79,08a7e58b-cf10-5cc3-8bdf-dbabc8c27653,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 12.08, ""p90_lt"": 18.3, ""lead_time_mean"": 8.0, ""lead_time_std"": 5.4, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 11.0, ""days_to_stockout"": 7, ""net_benefit"": 134.62, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 11.0 units of 8a432f4e at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
ef41a98d-b18c-5083-8c58-008af3bee211,aa43a7bc-c830-5ba4-ad4e-926969f5aaa8,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 25.11, ""p90_lt"": 37.83, ""lead_time_mean"": 12.1, ""lead_time_std"": 7.9, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 31.0, ""days_to_stockout"": 7, ""net_benefit"": 762.88, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 31.0 units of 1025f0e2 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
d392287e-d7ac-5d0a-8811-810c8d60d738,c8708737-7f4a-5e63-ae6c-1b26c95e6627,grok (xai) via StockPilot dual-agent,"{""evidence"": {""p50_lt"": 14.06, ""p90_lt"": 36.4, ""lead_time_mean"": 9.4, ""lead_time_std"": 10.8, ""confidence"": 0.91, ""top_drivers"": [""roll_mean_7"", ""lag_7"", ""lt_mean""]}, ""recommended_qty"": 29.0, ""days_to_stockout"": 7, ""net_benefit"": 210.18, ""verifier"": {""verdict"": ""AGREE"", ""final_decision"": ""APPROVE"", ""reasons"": [""net_benefit positive and no guardrail flags""], ""ai_available"": false}}","Order 29.0 units of 4b9750c8 at OLIST-BR — demand risk is driven by roll mean 7, and stockout is ~7 days away at the current run rate.",,
